sex,age,age_num,response,freq
women,18-23,0,no/little,26
women,18-23,0,important,12
women,18-23,0,very important,7
women,24-40,1,no/little,9
women,24-40,1,important,21
women,24-40,1,very important,15
women,> 40,2,no/little,5
women,> 40,2,important,14
women,> 40,2,very important,41
men,18-23,0,no/little,40
men,18-23,0,important,17
men,18-23,0,very important,8
men,24-40,1,no/little,17
men,24-40,1,important,15
men,24-40,1,very important,12
men,> 40,2,no/little,8
men,> 40,2,important,15
men,> 40,2,very important,18
